Gene
glyS
rpsR
rpsB
rplS
yhgF
argS
ettA
pheT
tufB
valS
rplO
trpS
rpmJ
frr
tsf
rpmF
rplL
lepA
alaS
selA
rpsI
rpmC
rplF
tyrS
hisS
yciH
ybaK
rpsF
rplX
rplC
lysS
leuS
infC
gltX
rplU
rpsS
rpsC
rplT
efp
prfA
prfB
prfC
proS
rpsP
rplQ
rpsM
rpmG
rplM
serS
selB
rpsJ
rpmD
rplI
fmt
rpsG
cysS
rplD
metG
pth
thrS
lysU
aspS
fusA
rpmA
rpsT
rpsD
rplA
sra
infA
glyQ
ykgO
rpsQ
rplR
radD
glnS
pheS
tufA
rpsN
rpmH
rplN
rpmI
rimP
rpsK
rplJ
asnS
rpsH
rpmB
rplE
rplP
rimK
rpsU
rpsE
rplW
rplB
def
ykgM
ileS
infB
ybcJ
rplY
rplV
rpsO
rpmE
rplK
ybeY
rrfH
rrfG
rrfF
rrfE
rrfD
rrfC
rrfB
rrsH
rrsG
rrsE
rrsD
rrsC
rrsB
rrlH
rrlG
rrlE
rrlD
rrlC
rrlB
bipA
rpsL
rpsA
