,ORF,R value,P value,Bon,BH
169,YGR132C,0.474719823072063,4.311720355979418e-05,0.2949216723489922,0.0017348333667587775
170,YPL223C,0.47449402875099356,4.353112789528178e-05,0.2977529148037274,0.0017412451158112714
171,YPL281C;YOR393W,0.4727016672767316,4.694986835155813e-05,0.32113709952465763,0.0018670761600270793
172,YPR001W,0.4724831107887491,4.738333746429852e-05,0.32410202825580187,0.0018734221286462536
173,YPL040C,0.46863798600892254,5.564215594555251e-05,0.3805923466675792,0.0021873123371699953
174,YIR038C,0.4682194536885046,5.661728124959526e-05,0.3872622037472316,0.002212926878555609
175,YPL119C,0.4675836691066209,5.8128864908910025e-05,0.3976014359769446,0.0022590990680508216
176,YJR104C,0.4658070476379845,6.255298537536824e-05,0.4278624199675187,0.0024173018077260945
177,YDR258C,0.46352671334486134,6.868783839592902e-05,0.4698248146281545,0.0026394652507199692
178,YNL135C,0.4626131199865767,7.129813429425126e-05,0.48767923857267864,0.0027244650199590987
179,YMR110C,0.4584699725557067,8.432663941256995e-05,0.5767942135819785,0.003204412297677658
180,YBR035C,0.4569771722319687,8.953604339288483e-05,0.6124265368073323,0.003383572026559847
181,YDR031W,0.4563371551190051,9.185915053283394e-05,0.6283165896445841,0.0034522889540911216
182,YDL067C,0.45608028848117177,9.280705356719421e-05,0.6348002463996084,0.003468853805462341
183,YBR118W,-0.45217640415024074,0.00010836975220546804,0.7412491050854014,0.0040285277450293555
184,YHR138C,0.4519962432795443,0.00010914292158284017,0.7465375836266268,0.004035338289873658
185,YOL147C,0.45198207101147014,0.00010920395774111282,0.7469550709492117,0.004015887478221568
186,YBR222C,0.4516347418519324,0.00011070967906550017,0.7572542048080212,0.004049487726246102
187,YJL138C,-0.450982642377263,0.00011358841699682268,0.7769447722582671,0.00413268495882057
188,YER178W,0.4503234635061114,0.00011656836272083348,0.797327601010501,0.004218664555611117
189,YEL011W,0.44913749378149065,0.00012211178535094253,0.835244611800447,0.004396024272633931
190,YFL059W,0.448743963426924,0.00012400419193670496,0.8481886728470619,0.004440778391869434
191,YKL065C;REV__YFR046C;REV__YOR154W,0.4483914086903989,0.00012572244999434868,0.859941557961345,0.0044788622810486714
192,YBR221C,0.4473939399614769,0.00013070330025410259,0.8940105737380617,0.004632179138539179
193,YBL041W,0.44717445169224224,0.00013182341326952105,0.901672146763524,0.004647794570946
194,YGL053W;YAR031W,0.4469488335601952,0.0001329840120188338,0.9096106422088232,0.004664669960045247
195,YBR263W,0.4451657524263532,0.00014249258847344882,0.97464930515839,0.004972700536522398
196,YIR036C,0.44430417002328876,0.00014730775774617034,1.007585062983805,0.005114644989765508
197,YDR533C,0.4437171459984846,0.00015067372331707162,1.0306082674887698,0.005205092260044291
198,YNL239W,0.4398520879356332,0.00017466176039561212,1.194686441105987,0.006003449452793904
199,YIL053W,-0.4392303502830086,0.00017883286355836856,1.223216786739241,0.006116083933696205
200,YKL151C,0.43814413082281256,0.0001863402665611975,1.2745674232785908,0.0063411314590974665
201,YIL055C;REV__YDR481C,0.4375261458921547,0.00019073954728695067,1.3046585034427425,0.006458705462587834
202,YNL185C,0.436226770625502,0.00020030210732524778,1.3700664141046948,0.006749095635983718
203,YLR109W,-0.4362229106170919,0.00020033115846255543,1.3702651238838792,0.006716985901391565
204,YFL005W,0.4360391449923359,0.0002017186948362157,1.3797558726797154,0.006730516452096173
205,YOL055C;YPL258C;YPR121W,0.4349507322231193,0.00021011924488733842,1.4372156350293948,0.006976774927327159
206,YGR205W,0.4345194190506089,0.00021353607543831102,1.4605867559980474,0.007055974666657234
207,YER057C,0.4336686996885685,0.00022042525749577056,1.5077087612710707,0.007248599813803224
208,YMR203W,0.4303651990739485,0.00024915422545498836,1.7042149021121205,0.008154138287617801
209,YLR432W,-0.4299474814182697,0.00025302153268014807,1.7306672835322128,0.008241272778724823
210,YKL140W;REV__YJR031C,0.4292974940621754,0.00025914870741665076,1.7725771587298913,0.008400839614833608
211,YGR019W,0.4283423746230024,0.0002683990726143439,1.8358496566821123,0.008659668191896756
212,YKL134C,0.42826713897077306,0.0002691404265390743,1.8409205175272683,0.008642819331113936
213,YMR241W,0.4269430641806051,0.00028249821615573936,1.9322877985052573,0.009029382236005875
214,YNL112W,-0.42694215917028683,0.0002825075501711749,1.932351643170836,0.008987682061259702
215,YJR009C,-0.42692328267020235,0.00028270230130624457,1.9336837409347127,0.00895223954136441
216,YLR180W,-0.42610273033540125,0.0002912877575908626,1.9924082619215002,0.009181604893647466
217,YIL033C,0.42456112769751037,0.00030806577948686004,2.1071699316901227,0.0096659171178446
218,YDR225W;YBL003C,0.42322153486349007,0.00032335804822164027,2.2117690498360196,0.010099402054045751
219,YIL065C,0.4227514650135709,0.00032888657559880047,2.2495841770957954,0.010225382623162707
220,YGL084C;YPL189W,0.4216360731142994,0.0003423522499557784,2.341689389697524,0.010595879591391511
221,YER156C;REV__YER156C,0.4201255481784892,0.00036139167971816085,2.47191908927222,0.011134770672397388
222,YHL032C,0.4198541394969371,0.00036491343205373515,2.4960078752475483,0.01119286042711905
223,YOR261C;REV__YOR239W,0.4184531260394584,0.0003835963682814434,2.623799159045073,0.011713389102879791
224,YBR145W,0.41827859051812505,0.00038598402844477526,2.640130754562263,0.01173391446472117
225,YMR145C,0.41805507995477365,0.0003890614816768826,2.6611805346698767,0.011775135109158747
226,YEL020W-A,0.41598496825589615,0.00041864713933785876,2.863546433070954,0.012614741995907288
227,YBR053C,0.41393751458328126,0.00044991403291611985,3.07741198514626,0.013497420987483596
228,YOR065W,0.4127871411539246,0.0004684015406012015,3.2038665377122184,0.013990683570795713
229,YAL060W,0.4125383778094074,0.0004724893209807415,3.231826955508272,0.014051421545688138
230,YNL071W,0.4099354662443624,0.0005172536505076052,3.5380149694720195,0.015316082118926492
231,YNL031C;YBR010W,0.4092885210774694,0.0005289628932417473,3.6181061897735516,0.015595285300748067
232,YMR016C;YKL043W,0.4070831099512267,0.0005707155726312075,3.9036945167974593,0.01675405372016077
233,YDR328C,0.40683904355082356,0.0005755158350211683,3.936528311544791,0.016822770562157224
234,YBR089C-A,0.40517063639004797,0.00060932570962806,4.16778785385593,0.01773526746321672
235,YDR457W;REV__YNL051W,0.40478481694710694,0.0006173969195058192,4.222994929419803,0.01789404631110086
236,YGR088W,0.4038310374582258,0.000637768390751074,4.362335792737346,0.018406480138132262
237,YEL034W;YJR047C,0.4036935064706956,0.0006407557297385506,4.382769191411686,0.01841499660257011
238,YLR460C;YCR102C,0.4011350825901443,0.0006986969735689765,4.779087299211799,0.019996181168250204
239,YGL037C,0.40099770209712843,0.0007019387954787777,4.80126136107484,0.020005255671145163
240,YDL215C,0.3989230091357894,0.0007525849918139355,5.147681344007319,0.021359673626586386
241,YOR230W,0.3987317802109453,0.0007574161039171756,5.180726150793481,0.021407959300799508
242,YLR432W;REV__YHR196W,0.3985864193885902,0.0007611072269075086,5.205973432047359,0.021423758979618762
243,YNL194C,0.3978672645611913,0.0007796097671501636,5.332530807307119,0.02185463445617672
244,YNL044W,0.39734063202954695,0.0007934167351720011,5.426970468576488,0.022150899871740765
245,YGR174C,0.39643928147746216,0.0008175631563655211,5.592131989540165,0.022732243859919368
246,YBL029C-A,0.3963103633670052,0.0008210706799045026,5.616123450546798,0.022737341905047767
247,YGR234W,0.39568967269105276,0.0008381497026479669,5.732943966112093,0.02311670954077457
248,YER024W,0.3955385644051342,0.0008423560479565725,5.761715368022956,0.023139419148686568
249,YNL202W,0.39517606156339913,0.0008525249939596637,5.8312709586841,0.0233250838347364
250,YBR046C,0.39483840045260465,0.0008620969850276423,5.896743377589073,0.023493001504338935
251,YMR159C,0.39377602747854223,0.0008928514506529157,6.107103922465943,0.024234539374864854
252,YJL154C;REV__YLR363W-A;REV__YDR479C,0.3934185085897267,0.0009034224922277604,6.179409846837881,0.024424544849161588
253,YJR065C,0.39317331612193474,0.0009107376568054579,6.229445572549332,0.02452537626987926
254,YCL035C,0.39283374086372197,0.0009209572348358001,6.299347486276873,0.02470332347559558
255,YLL024C,-0.3924896392019993,0.0009314188142650223,6.370904689572753,0.024886346443643566
256,YDR086C,0.3910025515891562,0.0009778780346247874,6.688685756833546,0.02602601461802936
257,YDL204W,0.3894569976286743,0.00102837600069394,7.03409184474655,0.027263921878862597
258,YGL156W,0.38943783839100954,0.0010290165186235714,7.038472987385228,0.027175571379865746
259,YOR347C,0.38768986838278696,0.001088993649213347,7.448716560619294,0.028648909848535745
260,YEL046C,-0.38701881225317497,0.0011128458387390074,7.61186553697481,0.02916423577384985
261,YJL066C,0.3866672280559941,0.0011255301082182688,7.698625940212959,0.029384068474095262
262,YLR249W,-0.38457659927820775,0.0012036887724069145,8.233231203263296,0.03130506160936614
263,YOR031W,0.38449026176452283,0.001207019352985895,8.256012374423522,0.03127277414554364
264,YLR351C,0.3837731803067598,0.0012350046919243885,8.447432092762817,0.03187710223684082
265,YOR095C,0.3833306479534609,0.001252566030506947,8.567551648667518,0.03220884078446435
266,YGR192C,-0.3830868363743412,0.0012623373239186607,8.63438729560364,0.03233852919701738
267,YLR439W,0.38054884986300797,0.0013682120727162685,9.358570577379277,0.034920039467833126
268,YNL225C;REV__YOL145C,0.3804150142471712,0.0013740110244036409,9.398235406920904,0.03493767809264277
269,YJR096W,0.3797161501927455,0.0014046533095239799,9.607828637144022,0.03558455050794082
270,YNL200C,0.37964525136737265,0.0014077960634519783,9.62932507401153,0.03553256484875104
271,YBL017C;YNR065C,0.37955257712598345,0.0014119136123540332,9.657489108501588,0.03550547466360878
272,YBL069W;YBL068W-A,0.3791310893969267,0.0014307776418252668,9.786519070084825,0.03584805520177592
273,YOL143C,0.37803409415812483,0.0014809431943834542,10.129651449582827,0.036969530837893526
274,YPL273W,-0.37739512840254885,0.0015108874513504106,10.334470167236809,0.03757989151722476
275,YDL045W-A,0.37689890844291823,0.0015345167960470472,10.496094884961803,0.03802932929333987
276,YPL090C,-0.37686452890077804,0.001536166155044717,10.507376500505863,0.03793276714984066
277,YIL156W-B,0.37658361546400343,0.001549702856711881,10.599967539909265,0.03812937963996139
278,YFR047C,0.37473538692091196,0.0016414734870711365,11.227678651566574,0.040242575812066576
279,YHR200W,0.3727048761070668,0.0017479018830419495,11.955648880006935,0.04269874600002477
280,YFL038C,0.3723648837289978,0.0017663160866294972,12.08160203254576,0.04299502502685324
281,YNL030W;YBR009C,0.3715216198532963,0.0018127419708464196,12.39915508058951,0.043968635037551454
282,YOR303W,-0.3707090940982477,0.0018585088796533023,12.712200736828587,0.04491943723260985
283,YMR174C,0.37014591408307473,0.0018908366729238483,12.933322842799122,0.04553986916478564
284,YBR036C,-0.3693634661937631,0.001936588358537743,13.246264372398162,0.04647812060490583
285,YER166W;REV__YFL038C,0.36902766902433287,0.00195652593945552,13.382637425875757,0.046792438552013135
286,YHL033C,-0.3675150761116197,0.0020486356469944945,14.012667825442342,0.04882462656948552
287,YGR081C,-0.3660827808879511,0.0021394185275329415,14.633622728325319,0.050811190028907355
