,ORF,Gene name
261,YDR033W,MRH1
262,YGL119W,COQ8
264,YJL054W,TIM54
265,YEL052W,AFG1
266,YDR155C,CPR1
267,YKL194C,MST1
268,YER154W,OXA1
269,YBR003W,COQ1
270,YPR021C,AGC1
271,YKL087C,CYT2
272,YMR098C,ATP25
273,YHL004W,MRP4
274,YBR227C,MCX1
275,YDR232W,HEM1
276,YJR051W,OSM1
277,YNL239W,LAP3
278,YNL315C,ATP11
279,YNL169C,PSD1
280,YNL185C,MRPL19
281,YPR020W,ATP20
282,YHR198C,AIM18
283,YML091C,RPM2
284,YIL093C,RSM25
285,YJL104W,PAM16
286,YMR056C,AAC1
287,YDL202W,MRPL11
288,YKL094W,YJU3
289,YER053C,PIC2
290,YJL180C,ATP12
291,YMR301C,ATM1
292,YPR058W,YMC1
293,YNL256W,FOL1
294,YAR035W,YAT1
295,YAL001C,TFC3
296,YOR205C,GEP3
297,YBR104W,YMC2
298,YOR017W,PET127
299,YLR289W,GUF1
300,YHR147C,MRPL6
301,YGR181W,TIM13
302,YGR178C,PBP1
303,YNL026W,SAM50
304,YDR405W,MRP20
305,YJR122W,IBA57
306,YOR285W,RDL1
307,YMR287C,DSS1
308,YOR158W,PET123
309,YPL097W,MSY1
310,YER078C,ICP55
311,YML001W,YPT7
312,YNL177C,MRPL22
313,YBR044C,TCM62
314,YGR235C,MIC26
315,YLR188W,MDL1
316,YJL131C,AIM23
317,YFR011C,MIC19
318,YDR062W,LCB2
319,YEL050C,RML2
320,YDR178W,SDH4
321,YDR376W,ARH1
322,YER061C,CEM1
323,YGL187C,COX4
324,YGR171C,MSM1
325,YPR133W-A,TOM5
326,YMR193W,MRPL24
327,YCR071C,IMG2
328,YGR029W,ERV1
329,YDR237W,MRPL7
330,YDR326C,YSP2
331,YDR375C,BCS1
332,YPR140W,TAZ1
333,YBR146W,MRPS9
334,YOR090C,PTC5
335,YHR001W-A,QCR10
336,YOR266W,PNT1
337,YDL107W,MSS2
338,YJL063C,MRPL8
339,YHR076W,PTC7
340,YJR148W,BAT2
341,YER048W-A,ISD11
342,YCL057C-A,MIC10
343,YGR174C,CBP4
344,YNR022C,MRPL50
345,YMR203W,TOM40
346,YDR393W,SHE9
347,YNL274C,GOR1
348,YMR158W,MRPS8
349,YMR282C,AEP2
350,YHR091C,MSR1
351,YBL107C,MIX23
352,YPL188W,POS5
353,YML110C,COQ5
354,YPL029W,SUV3
355,YMR157C,AIM36
356,,MCP2
357,YHR168W,MTG2
358,YPL271W,ATP15
359,YBR192W,RIM2
360,YHL038C,CBP2
361,YLL013C,PUF3
362,YPR100W,MRPL51
363,YIL026C,IRR1
364,YGR033C,TIM21
365,YDR322C-A,TIM11
366,YPL072W,UBP16
367,YNL306W,MRPS18
368,YDL067C,COX9
369,YEL020W-A,TIM9
370,YGR222W,PET54
371,YIL065C,FIS1
372,YIR021W,MRS1
373,YDL004W,ATP16
374,YFR049W,YMR31
375,YLR139C,SLS1
376,YJL005W,CYR1
377,YDR268W,MSW1
378,YDR041W,RSM10
379,YEL039C,CYC7
380,YPR166C,MRP2
381,YMR225C,MRPL44
382,YJR034W,PET191
383,YNL284C,MRPL10
384,YMR244C-A,COA6
385,YNL100W,MIC27
386,YBR176W,ECM31
387,YGR084C,MRP13
388,YKL114C,APN1
389,YLR239C,LIP2
390,YBR262C,MIC12
391,YGL059W,PKP2
392,YLR090W,XDJ1
393,YDL027C,MRX9
394,YGL221C,NIF3
395,YDR231C,COX20
396,YAL039C,CYC3
397,YCR024C,SLM5
398,YOL071W,SDH5
399,YBR230C,OM14
400,YMR060C,SAM37
401,YLR077W,FMP25
402,YDR353W,TRR1
403,YGL143C,MRF1
404,Q0055,AI2
405,YHR005C-A,TIM10
406,YNL168C,FMP41
407,YGR255C,COQ6
408,YOL033W,MSE1
409,YOR226C,ISU2
410,YBL080C,PET112
411,YLR072W,LAM6
412,YMR296C,LCB1
413,YLR067C,PET309
414,YKL056C,TMA19
415,YMR293C,HER2
416,YGR215W,RSM27
417,YMR097C,MTG1
418,YKL141W,SDH3
419,YMR228W,MTF1
420,YLL006W,MMM1
421,YHR199C,AIM46
422,YGR031W,IMO32
423,YJL208C,NUC1
424,YER050C,RSM18
425,YKR036C,CAF4
426,YOR150W,MRPL23
427,Q0250,COX2
428,YDR511W,SDH7
429,YKR087C,OMA1
430,YDR377W,ATP17
431,YOR286W,RDL2
432,YOL059W,GPD2
433,YIR037W,HYR1
434,YIL160C,POT1
435,YJL096W,MRPL49
436,YDL104C,QRI7
437,YFL046W,FMP32
438,YNR018W,RCF2
439,YAL048C,GEM1
440,YDR462W,MRPL28
441,YDR031W,MIX14
442,YGR076C,MRPL25
443,YMR286W,MRPL33
444,Q0045,COX1
445,YNL213C,RRG9
446,YAL044C,GCV3
447,YER077C,MRX1
448,YOR291W,YPK9
449,YOR087W,YVC1
450,YHR017W,YSC83
451,YGR046W,TAM41
452,YBR024W,SCO2
453,YFR004W,RPN11
454,YDR470C,UGO1
455,YBL038W,MRPL16
456,YDL164C,CDC9
457,YDL226C,GCS1
458,YKL167C,MRP49
459,YIL111W,COX5B
460,YML010W,SPT5
461,YOL077W-A,ATP19
462,YPL059W,GRX5
463,YLR038C,COX12
464,YLR348C,DIC1
465,YOL095C,HMI1
466,YNR017W,TIM23
467,YIL070C,MAM33
468,YPL013C,MRPS16
469,YMR152W,YIM1
470,YGR110W,CLD1
471,YJL071W,ARG2
472,YNR045W,PET494
473,YPL168W,MRX4
474,YDR493W,MZM1
475,YKR085C,MRPL20
476,YGR183C,QCR9
477,YPL005W,AEP3
478,YCR083W,TRX3
479,YLR142W,PUT1
480,YLR393W,ATP10
481,YPL132W,COX11
482,YKL113C,RAD27
483,YIL157C,COA1
484,YLR290C,COQ11
485,YDR197W,CBS2
486,YJL209W,CBP1
487,YGL086W,MAD1
488,YLR312W-A,MRPL15
489,YDR282C,MRX10
490,YNL321W,VNX1
491,YPL172C,COX10
492,YKL138C,MRPL31
493,YPL083C,SEN54
494,YNR037C,RSM19
495,YDR296W,MHR1
496,YIL042C,PKP1
497,YLR008C,PAM18
498,YDL033C,SLM3
499,YIL098C,FMC1
500,YGR257C,MTM1
501,YIL062C,ARC15
502,YNL081C,SWS2
503,YOR241W,MET7
504,YFR028C,CDC14
505,YJL046W,AIM22
506,YHR070W,TRM5
507,YNR020C,ATP23
508,YFL042C,LAM5
509,YKL067W,YNK1
510,YOR130C,ORT1
511,YJL088W,ARG3
512,YPL218W,SAR1
513,YHR083W,SAM35
514,YKR079C,TRZ1
515,YNR036C,MRPS12
516,YBL059C-A,CMC2
517,YER058W,PET117
518,YOL053W,AIM39
519,YDR513W,GRX2
520,,MRX5
521,YPL224C,MMT2
522,YER170W,ADK2
523,YLL027W,ISA1
524,YHR002W,LEU5
525,YHL032C,GUT1
526,YBR235W,VHC1
527,YJR100C,AIM25
528,YGR243W,MPC3
529,YLR190W,MMR1
530,YBR122C,MRPL36
531,YDL217C,TIM22
532,YHR116W,COX23
533,YOR316C,COT1
534,YMR064W,AEP1
535,YLR043C,TRX1
536,YMR267W,PPA2
537,YJR060W,CBF1
538,YHR201C,PPX1
539,YBR185C,MBA1
540,YBR037C,SCO1
541,YNR013C,PHO91
542,YGL219C,MDM34
543,YOR251C,TUM1
544,YOR350C,MNE1
545,YER019W,ISC1
546,YEL006W,YEA6
547,YKR052C,MRS4
548,YDL003W,MCD1
549,YDL077C,VAM6
550,YDR036C,EHD3
551,YBR091C,TIM12
552,YOR274W,MOD5
553,YKL064W,MNR2
555,YGL018C,JAC1
556,YOR147W,MDM32
557,YPL103C,FMP30
558,YKL003C,MRP17
559,YGL057C,GEP7
560,YML129C,COX14
561,YOR201C,MRM1
562,YNL292W,PUS4
563,YER026C,CHO1
564,YBL095W,MRX3
565,YMR002W,MIX17
566,YMR177W,MMT1
567,YLR370C,ARC18
568,YKL011C,CCE1
569,YNL101W,AVT4
570,YIR024C,INA22
571,YMR038C,CCS1
572,YHR100C,GEP4
573,YNL310C,ZIM17
574,YJL133W,MRS3
575,YPR184W,GDB1
576,YOR221C,MCT1
577,YML081C-A,ATP18
578,YPR128C,ANT1
579,YOR305W,RRG7
580,Q0065,AI4
581,YNL295W,MRX6
582,YOR037W,CYC2
583,YPR134W,MSS18
584,YCR003W,MRPL32
585,YML061C,PIF1
586,YAL010C,MDM10
587,YJL178C,ATG27
588,YKR065C,PAM17
589,YHR106W,TRR2
590,YDL181W,INH1
591,YOL038W,PRE6
592,Q0050,AI1
593,YOR125C,CAT5
594,YDR027C,VPS54
595,YHR067W,HTD2
596,YBR035C,PDX3
597,YJR135W-A,TIM8
598,YBR269C,SDH8
599,YDR196C,CAB5
600,YJR073C,OPI3
601,YBR160W,CDC28
602,YKR049C,FMP46
603,YBR282W,MRPL27
604,YJL143W,TIM17
605,YJL003W,COX16
606,YKL053C-A,MDM35
607,YCL004W,PGS1
608,YHR189W,PTH1
609,YOR330C,MIP1
610,YDR379C-A,SDH6
611,YOR040W,GLO4
612,YGR236C,SPG1
613,YIL134W,FLX1
614,YDR332W,IRC3
615,YPR116W,RRG8
617,YDR204W,COQ4
618,YJL166W,QCR8
619,YBL013W,FMT1
620,YDR508C,GNP1
621,YIL114C,POR2
622,YDR236C,FMN1
623,YLR105C,SEN2
624,YJR091C,JSN1
625,YBR244W,GPX2
626,YKL055C,OAR1
627,YNL328C,MDJ2
628,YKL192C,ACP1
629,YLR295C,ATP14
630,YNL130C,CPT1
631,YLR091W,GEP5
632,YPL252C,YAH1
633,YLR390W,ECM19
634,YFR033C,QCR6
635,YBR163W,EXO5
636,YAL044W-A,BOL1
637,Q0110,BI2
638,YGR169C,PUS6
639,YJR101W,RSM26
640,YER153C,PET122
641,YMR243C,ZRC1
642,YNR041C,COQ2
643,YHR194W,MDM31
644,YBR111C,YSA1
645,YPL105C,SYH1
646,YER057C,HMF1
647,YGR062C,COX18
648,YBR006W,UGA2
649,YDR305C,HNT2
650,YDL130W-A,STF1
651,YCR008W,SAT4
652,YHR155W,LAM1
653,YMR150C,IMP1
654,YDR505C,PSP1
655,YGR102C,GTF1
656,YKL208W,CBT1
657,YHR059W,FYV4
658,YJL161W,FMP33
659,YLR132C,USB1
660,YPR113W,PIS1
661,YLR059C,REX2
662,YDR487C,RIB3
663,YOL009C,MDM12
664,YNL003C,PET8
665,YMR023C,MSS1
666,YAL046C,BOL3
667,YPL186C,UIP4
668,YML009C,MRPL39
669,YPR083W,MDM36
670,YPL206C,PGC1
671,YBR150C,TBS1
672,YDL045W-A,MRP10
673,YDR058C,TGL2
674,YDL119C,HEM25
675,YIL087C,AIM19
676,YOL096C,COQ3
677,YLR201C,COQ9
678,YCR079W,PTC6
679,YDR336W,MRX8
680,YOL008W,COQ10
681,YOR228C,MCP1
682,Q0070,AI5_ALPHA
683,YOR297C,TIM18
684,YBR047W,FMP23
685,YAL008W,FUN14
686,YPR067W,ISA2
687,YDL036C,PUS9
688,YGL226W,MTC3
689,YGL136C,MRM2
690,YER168C,CCA1
691,YGL085W,LCL3
692,YNL070W,TOM7
693,YMR257C,PET111
694,YHR162W,MPC2
695,YJL023C,PET130
696,YPL098C,MGR2
697,YMR003W,AIM34
698,YLR395C,COX8
699,YDR079W,PET100
700,YDL069C,CBS1
701,YOL143C,RIB4
702,YOL081W,IRA2
703,YIL006W,YIA6
704,YDR350C,ATP22
705,YOR004W,UTP23
706,YOR334W,MRS2
707,YOR386W,PHR1
708,YLR256W,HAP1
709,YPL060W,MFM1
