,Gene name
174,MRPL13
175,BM-047;MRPS30;PDCD9
176,UQCRQ
177,TSFM;hCG_40154
178,MTND3;MT-ND3;NADH3;ND3;AD 1
179,HSPC017;PDIP38;POLD4;POLDIP2;DKFZp586F1524
180,ATP5L
181,NDUFA7
182,COX5B
183,DLST;DLTS
184,HSPC262;MRPL38
185,NDUFV3
186,TIM13B;TIMM13;TIMM13A;TIMM13B
187,HSPC235;MRPL2;MRPL37;RPML2;RP5-997D24.1-003
188,DCXR
189,NDUFB3;hCG_1776639
190,BZRP;MBR;TSPO;PBR;RP3-526I14.4-005
191,MRPL45
192,LYRM3;NDUFB9;UQOR22;DKFZp566O173
193,NDUFA2
194,THNSL1;FLJ22002
195,GC1;SLC25A22
196,UQBP;UQCRB
197,BCKDHA
198,SUCLG1;tmp_locus_1
199,NDUFA4L2
200,BMRP;MRPL27;MRPL41;PIG3;RPML27
201,BCL2L13;CD003;MIL1;hCG_19914
202,HSPC119;UCRC;UQCR10;hCG_1641518
203,ETFDH;hCG_1811923
204,IDH3G
205,KIAA1652;TRXR2;TXNRD2
206,BPHL;MCNAA
207,IMOGN38;MRPS31
208,ABHD11;PP1226;WBSCR21
209,C3orf28;DC16;E2IG5;FAM162A;FWP001
210,NDUFA3;hCG_20947
211,EARS2;KIAA1970
212,ATP11;ATPAF1
213,HSPC145;MRPL15
214,NDUFB8;hCG_24658;RP11-411B6.5-006;RP11-411B6.5-003
215,ATP5D
216,BM-022;MRPL1
217,NDUFC1
218,GBAS;NIPSNAP2;hCG_18231
219,MMAB
220,KIAA0104;MRPL15;MRPL19
221,GCSH;hCG_1980047
222,DMGDHL1;SARDH;RP11-317B10.2-005
223,BCS1;BCS1L
224,NDUFA1;hCG_23184;ZNF183
225,ARG2
226,MRPL40;NLVCF;URIM
227,MRL3;MRPL3;RPML3
228,NT5DC2
229,C17orf35;PM1;TMEM11
230,WARS2
231,ACAA;ACAA1;PTHIO
232,MAAT1;MRPL28;Z97634.1-001;Z97634.1-010;Z97634.1-009;Z97634.1-011
233,NDUFS7
234,LYPLAL1;hCG_24907
235,hCG_15235;PCCB;DKFZp451E113
236,NDUFB1
237,PCCA;hCG_1811327;RP11-151A6.1-001;RP11-151A6.1-004
238,CCDC51
239,KIAA0028;LARS2
240,LIP2;MRPL17
241,NARS2
242,C14orf160;L2HGDH
243,NDUFB4
244,KIAA0016;TOMM20
245,SPRYD4
246,GPX1
247,CYB560;SDH3;SDHC;hCG_1995943
248,MRPS25;RPMS25
249,TARS2;TARSL1;hCG_1999130;RP11-54A4.9-010;RP11-54A4.9-012;DKFZp667F1511
250,hCG_1647154;MRPL42;HSPC204;MRPL31;MRPS32;PTD007;RPML31
251,NUDT19
252,EPHX2
253,CGI-113;MRPL11;hCG_2017204
254,NDUFS5;hCG_1782706;RP11-781D11.3-001
255,CCDC58
256,PDK1
257,OMP25;SYNJ2BP
258,C9orf158;HDHD3
259,TIM9;TIM9A;TIMM9;TIMM9A
260,MRPL24
261,PDK1;PDPK1;PkB-like 1;PDPK2;PkB-like 2
262,MRPL53
263,TMEM205;UNQ501/PRO1018
264,MRPL55;UNQ5835/PRO19675
265,DHODH
266,PDF;PDF1A
267,CCDC44;PRO0477;TACO1
268,MRPS14
269,SFXN2;hCG_22584;RP11-47A8.2-001;SFXN
270,ARL2;hCG_23373
271,MRPL20
272,ACADS
273,PDHX;PDX1
274,DKFZp686D0959;C14orf114;EXD2;EXDL2
275,XPNPEP3
276,GHITM;DERP2;My021;TMBIM5;UNQ244/PRO281;RP11-124L5.3-002;DKFZp566C0746
277,MARS2
278,MRPS36;DC47
279,GSTZ1;hCG_22265
280,CGI-63;MECR;NBRF1;hCG_24036
281,HSPC158;MRPL22;MRPL25;RPML25
282,CARS2;OK/SW-cl.10;DKFZp686G08243;DKFZp667A2315
283,TTC19;hCG_28939
284,ORNT1;SLC25A15;SP1855
285,ALEX3;ARMCX3;BM-017;UNQ2517/PRO6007
286,APOOL;CXorf33;FAM121A;UNQ8193/PRO23204;DKFZp779P1227
287,NDUFV2;hCG_1994226
288,NUDT8
289,MRPL50
290,C5orf31;LYRM7
291,TMEM177
292,GDAP1
293,DIC;SLC25A10
294,NME3;c371H6.2
295,MLYCD
296,AUH
297,FOXRED1;FP634
298,MTX3;DKFZp686B0395
299,NSUN4;hCG_2031650
300,MRPL21;hCG_27184
301,HINT3
302,BCKDHB;hCG_1817356;RP1-279A18.1-004
303,BCRM1;SFXN4;RP11-435O11.4-004
304,MRPL9;RP11-98D18.5-002
305,MRPL16;PNAS-111
306,MOSP;PLIP;PNAS-129;PTPMT1
307,CGI-118;HSPC290;MRPL48
308,SIR2L5;SIRT5
309,BCKDK;hCG_21145
310,DNAJC19;TIM14;TIMM14;hCG_17532
311,ENDOGL1;ENDOGL2;ENGL;EXOG
312,CCDC90B;CUA003;MDS011;MDS025;hCG_27349
313,AMACR
314,CTMP;THEM4
315,CGI-22;MRPL2
316,ALR;GFER;HERV1;HPO
317,CAC;CACT;SLC25A20
318,SCO1;SCOD1
319,ACAD8;ARC42;IBD;hCG_37259
320,DLST;hCG_22359
321,L23MRP;MRPL23;RPL23L
322,GUF1
323,SIR2L3;SIRT3
324,ACAD10
325,SDH4;SDHD;UNQ5809
326,NLRX1;NOD26;NOD5;NOD9
327,C8orf82
328,KIAA0446;SLC25A44
329,OSGEPL1
330,AMT;GCST
