,LFQ Intensity A549_1,LFQ Intensity A549_2,LFQ Intensity A549_3,LFQ Intensity GAMG_1,LFQ Intensity GAMG_2,LFQ Intensity GAMG_3,LFQ Intensity HEK293_1,LFQ Intensity HEK293_2,LFQ Intensity HEK293_3,LFQ Intensity HeLa_1,LFQ Intensity HeLa_2,LFQ Intensity HeLa_3,LFQ Intensity HepG2_1,LFQ Intensity HepG2_2,LFQ Intensity HepG2_3,LFQ Intensity Jurkat_1,LFQ Intensity Jurkat_2,LFQ Intensity Jurkat_3,LFQ Intensity K562_1,LFQ Intensity K562_2,LFQ Intensity K562_3,LFQ Intensity LnCap_1,LFQ Intensity LnCap_2,LFQ Intensity LnCap_3,LFQ Intensity MCF7_1,LFQ Intensity MCF7_2,LFQ Intensity MCF7_3,LFQ Intensity RKO_1,LFQ Intensity RKO_2,LFQ Intensity RKO_3,LFQ Intensity U2OS_1,LFQ Intensity U2OS_2,LFQ Intensity U2OS_3,Gene name
45,,,,,,1.2623136418548587e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,BRI3
46,,,,,,,,,,,,,,,6.175307568376683e-06,,,,,,,,,,,,,,,,,,,PSTI;SPINK1
47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2258311516498318e-06,C1orf21;PIG13
48,,,,,,,,,,,,,1.5690693695912062e-06,,,,,,,,,,,,,,,,,,,,,CBG;SERPINA6
49,,,,,,,,,,,,,,,,,,,,,,,,,,,2.528051291296153e-07,,,,,,,SLC39A9;UNQ714/PRO1377;ZIP9;hCG_2028986
50,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2741597476583005e-06,,,,,,,ATAD4;PRR15L
51,,,,,,,,,1.924902505523816e-06,,,,,,,,,,,,,,,,,,,,,,,,,FAM63B;KIAA1164
52,,,,,,,,,,,,,,,,,,,,,,,,1.6454251133634711e-07,,,,,,,,,,VWA1
53,,,,,,,7.17791113146703e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,NIPA2
54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.382759640818952e-07,ARNTL2;BHLHE6;BMAL2;CLIF;MOP9;PASD9
55,,,,,,,,,,3.2946587331549237e-06,,,,,,,,,,,,,,,,,,,,,,,,
56,,,,,,,,,8.089165814038007e-07,,,,,,,,,,,,,,,,,,,,,,,,,CKIP1;HQ0024c;OC120;PLEKHO1
57,,,8.033148165485634e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EFL3;EFNB1;EPLG2;LERK2
58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.8519684976856185e-06,,,,KIAA0198;PLAGL2
59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.25424653437103e-07,SRR1L;SRRD
60,,,,,,,,,1.6333555697083556e-06,,,,,,,,,,,,,,,,,,,,,,,,,ZNF649
61,,,,,,,,,,,,,,,2.1606807017002117e-06,,,,,,,,,,,,,,,,,,,PLLP;PMLP;TM4SF11
62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.933021909765726e-06,STATH
63,,,,,,,,,,,6.892021011591675e-06,,,,,,,,,,,,,,,,,,,,,,,
