Gene
PAIP2
MRPL39
EIF4ENIF1
MTG1
ZAR1L
ZAR1
GGT7
CPEB1
SRBD1
FAU
GGT2
EIF1AY
MRPL42
MRPS18B
HBS1L
RPL36
MRPS23
MRPS18C
MRPS16
MRPL11
MRPS23
YARS2
MRPS7
MRPS17
MRPS33
FARSA
EIF3L
RPL26L1
MCTS1
AGO2
EIF2B4
RSL24D1
WARS2
MTRF1L
RPS6KB2
EIF3K
LARS1
RRBP1
MRPL27
MRPL36
MRPL15
MRPL35
NHP2
MRPL16
TRNAU1AP
MRPL22
RMND1
MRPS18A
IARS2
FARSB
MRPL17
EIF2B3
MRPS30
SARS2
SEPSECS
MRPL47
PDF
CARS2
METTL17
C12orf65
MTIF3
MRPL18
QRSL1
COA1
EIF5A2
MRPL37
MRPL1
MRPL4
MRPL9
MRPL13
MRPL20
MRPL32
EIF2A
TARS2
AARSD1
PELO
MRPL34
EIF3C
SECISBP2
GFM1
RPL10L
NARS2
MARS2
MRPS24
RPL39L
MRRF
MTFMT
MRPL24
GFM2
RPL36AL
ABTB1
COPS5
RPL3L
GCN1
GEMIN5
RPS4Y2
MRPL30
ABCF1
CPEB3
MRPL43
EIF4E3
GUF1
GSPT2
MRPL41
PSTK
MRPL52
MRPL10
MRPL55
CPEB2
DHX29
EFL1
MRPL21
PARS2
EIF3M
RPS27L
LARP4
LARP1
DARS2
RPL22L1
MRPL14
RPL13AP3
EIF5AL1
EEF1DP3
EEF1A1P5
MRPL2
RARS2
VARS2
AARS2
EARS2
RPS26P11
RPL39P5
MRPL51
EIF2S3B
CPEB4
MRPL23
EIF4H
KARS1
LARS2
EIF4A2
EIF2B1
MRPL58
EIF3A
NACA
EIF4EBP2
MRPL49
EIF3I
PABPC4
AIMP2
EIF2B5
MRPL28
AIMP1
RPL18
EEF1A2
EIF4G1
RPL6
RPL18A
RPL19
RPL36A
RPL24
MRPS9
MRPS6
MRPS21
MRPS15
MRPS11
MRPS36
MRPS5
EIF4G2
EEF1A1
RACK1
EIF5A
RPS21
RPL38
UBA52
RPS27A
RPL41
RPL8
RPL11
RPL32
RPL10A
RPL31
RPL39
RPL30
RPS28
RPS26
RPS25
EPS24
RPS15
RPL23
RPS6
RPL23A
RPS4X
ETF1
RPL7A
RPS11
RPS13
RPS29
RPS18
RPS23
RPS14
RPS16
RPS15A
RPS8
RPS7
RPL37
RPL37A
RPL27
RPL15
RPL26
RPS3A
RPS20
EIF4A1
EIF3E
EEFSEC
EIF6
MARS1
EIF3B
EIF5
YARS1
RARS1
MRPL12
RPL14
EIF2B2
SARS1
HARS2
CARS1
AARS1
TUFM
MRPL19
DHPS
RPL34
RPL29
QARS1
EIF1AX
RPS10
RPS5
RPS9
RPL28
RPL21
RPL5
RPL27A
ASMT
MTIF2
TSFM
RPL35
RPS27
EIF1AX
IARS1
GARS1
EIF2D
EIF2S3
RPL13A
RPL3
RPS19
IGHMBP2
RPL41
GGT5
RPL22
RPL9
AKT1
RPL12
EEF1D
RPL10
EEF1G
VARS1
TARS1
RPL13
RPS12
EEF1B2
EIF4B
RPS3
WARS1
RPS4Y1
EIF2S2
EIF2AK2
RPL17
RPL7
RPL35A
RPS2
GSPT1
DARS1
EEF2
HARS1
MRPL3
RPSA
RPS17
EPRS1
EIF4E
RPLP0
RPLP1
RPLP2
EIF2S1
EGFR
FARS2
GATB
EIF3J
EIF3G
MTRF1
MRPL33
EIF5B
MRPS14
EIF1B
EIF4E2
NARS1
GATC
DENR
EIF4G3
EEF1E1
EIF3H
EIF3D
MRPS12
IGF2BP3
EIF4E1B
RPL37AP8
TARS3
MRTO4
EIF4A3
PAIP1
WDR87
RSL1D1
CWC22
GPSM1
UBR1
RPP38
NBAS
UPF2
PDCD11
TNIP1
LIPT1
SECISBP2L
ALKBH8
NCBP1
POLG2
CTIF
TRPC4
MRPS25
GADD45A
NCOA5
GADD45B
AGO1
SLC25A43
MRPS10
METTL1
