Gene name,LFQ Intensity A549_1,LFQ Intensity A549_2,LFQ Intensity A549_3,LFQ Intensity GAMG_1,LFQ Intensity GAMG_2,LFQ Intensity GAMG_3,LFQ Intensity HEK293_1,LFQ Intensity HEK293_2,LFQ Intensity HEK293_3,LFQ Intensity HeLa_1,LFQ Intensity HeLa_2,LFQ Intensity HeLa_3,LFQ Intensity HepG2_1,LFQ Intensity HepG2_2,LFQ Intensity HepG2_3,LFQ Intensity Jurkat_1,LFQ Intensity Jurkat_2,LFQ Intensity Jurkat_3,LFQ Intensity K562_1,LFQ Intensity K562_2,LFQ Intensity K562_3,LFQ Intensity LnCap_1,LFQ Intensity LnCap_2,LFQ Intensity LnCap_3,LFQ Intensity MCF7_1,LFQ Intensity MCF7_2,LFQ Intensity MCF7_3,LFQ Intensity RKO_1,LFQ Intensity RKO_2,LFQ Intensity RKO_3,LFQ Intensity U2OS_1,LFQ Intensity U2OS_2,LFQ Intensity U2OS_3
GPBP;GPBP1;SSH6,,,,3.7427318445655556e-07,,,,,,,,,,,,,,2.6866921439830567e-06,,,,,,,,1.6818087717979303e-06,,,,,,,
C1orf48;DC31;DC8;MIS14;NSL1;hCG_39200;RP11-92F1.2-002,,,,,,9.021961362630242e-07,4.492913739025727e-06,7.480495042456787e-06,2.910934875011806e-06,2.454969899872683e-06,,4.278978477882623e-06,7.112182352738526e-07,,,4.236967432554467e-06,,5.037985409737111e-06,1.580539440816271e-06,6.6124112290921745e-06,,,,,,,,,,,,,1.967760549335515e-06
HT036;HYI;SB156;RP11-506B15.5-004;RP11-506B15.5-003;RP11-506B15.5-005,,,,,,3.8362947092633495e-06,,,2.0336606681812275e-06,,,,,,,,,,,,,,,,,,,,,,,,
MAP3K7IP3;TAB3;DKFZp313L0918,,,,,,,,5.20334161363069e-06,4.627873606593892e-06,,,5.786781736180363e-06,,,,,,3.173049925362107e-06,,,,,,,,,,,,,,,
CCDC95;INO80E;FLJ90652;hCG_1770728;FLJ00210,,,,,,,,,,,,,,,,,,,,,4.018241347745513e-06,,,,,,,,,1.9323852924214764e-05,,,
BTBD9;KIAA1880;hCG_2039369;RP3-322I12.1-005;RP3-322I12.1-001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6878500098821845e-06
AKT1S1;PRAS40,,1.698349906080845e-05,1.977594221664847e-05,,,,7.880033803334181e-06,,9.146869632820494e-06,1.3183695741572788e-05,,1.7886736208148976e-05,7.883787017571395e-06,,,,,,5.252213089576813e-06,,,1.3506820712116574e-05,8.108693578960623e-06,,6.611722110513976e-06,,,,1.0278829574750964e-05,,7.907443245542762e-06,1.347311196453533e-05,1.1061887805855087e-05
nan,,,,,,,,,1.001247602752898e-06,,,,,,,,,,,,,,,,,,,,,,,,
KIAA0096;SNFRK;SNRK,,,,,,,4.253966646890886e-06,3.901928791577944e-06,3.818928165158205e-06,,,6.279312574472219e-06,,,,,,,,,,,,,,,,,,,,,
C14orf168;DNAL1,,,,,,,3.815241913324002e-06,,,,,,,,,,,1.6664753934895489e-06,,,,,,,1.4621657003704195e-05,,,,,,1.4680879821370074e-05,1.534157398783184e-05,3.0884050176162985e-06
MFSD5;UNQ832/PRO1759,1.1582835495623153e-05,1.557209955433634e-05,,1.3444161236398348e-05,1.461520346269681e-05,2.3113992225287505e-05,,,4.518772626775415e-06,9.527767957602741e-06,5.028822304817029e-06,6.0948230607710506e-06,1.5545291965223145e-05,,1.277808486971552e-05,,,,,,,1.64666454689063e-05,1.1150950529204864e-05,6.0605238079581335e-06,4.2192532341913605e-05,6.21610888615547e-05,1.8722423322055904e-05,1.5094779449328114e-05,,,2.1021228040788707e-05,9.049590319657463e-06,5.428805088413492e-06
LOH12CR1,,,,9.799337428565348e-06,,8.13010141194314e-06,6.8646291551482065e-06,,6.03915935240021e-06,1.030602452609792e-05,7.566992263516802e-06,,,,,9.951490340961167e-06,,,,,,8.645102267309419e-06,1.9604731065110014e-05,1.3545690913970894e-05,7.094856109353008e-06,1.1427931099405602e-05,9.058662108300614e-06,7.687830011257337e-06,,2.2924861647687993e-05,,,9.406265856147702e-06
FHIT;hCG_1997982,,,,,,,4.114784360592184e-05,1.1500410419307082e-05,1.8012644975784054e-05,,,,8.545507962830443e-06,,,,,,,,,2.0978678872859625e-05,1.7187784073157115e-05,1.0130903104656741e-05,,,,,,,,,
BHLHE8;CLOCK;KIAA0334;clock,,,,,,6.870936942585046e-06,,,,,,,,,,,,,,,,,,,,,6.759351957233679e-06,,,,5.935975277741434e-06,,1.0424380360813796e-05
DTNBP1;My031,,,,,,,,,,,,,,,,,,,,,1.25234509241984e-05,6.670787943025543e-07,,,,,,,,,,,
AROS;RPS19BP1,9.038719068733873e-06,4.816950368201701e-06,,,,,1.3198150625896495e-05,5.999918338051228e-06,1.0848619801735084e-05,2.100241190134074e-05,1.7796897122448026e-05,2.928816092334626e-05,6.492483927674796e-06,1.0715047492676158e-05,8.550761010907775e-06,,,4.114934298751138e-06,2.7986161610464028e-05,,1.2006074066764725e-05,8.112526624663683e-06,1.4783385061776856e-05,4.3099393785745335e-06,5.365023047265529e-06,1.3643619946454394e-05,7.945551750159082e-06,9.937903422267266e-06,1.4422769586517436e-05,1.7403064242604064e-05,1.1738296723499826e-05,,1.1060945421294594e-05
IRF9;ISGF3G,,,,,8.391698378378836e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOM3L;DOM3Z;NG6,,,,,,,,,4.91275933195602e-06,,,,,,,,,,,,,,,,,,,,,,,,
SIX6;OPTX2;SIX9,,,,,,,,,4.446716984841608e-06,,,,,,,5.2101487884458224e-05,4.996221054511356e-05,4.542332331618625e-05,,,,,,,,,,,,,,,
AGS1;ATRIP,0.00021504229600219685,0.00028664552858261385,,,,4.1949130445396714e-05,,,,0.00010952825577965268,0.00015325734227984516,,5.152818948611433e-05,,3.6746735919109685e-05,0.00028641524196836195,2.674721971326804e-05,6.182425695498337e-05,,,0.00024182267349049072,0.000137202850767757,4.3621629935106486e-05,,0.00018069727030645136,0.0002874217394032092,8.936491787748103e-05,4.7887346391472706e-05,0.0004913236453595224,,,,
TIPIN,3.97828496396051e-06,,,,,,2.9001073935454134e-06,,2.9626918942147572e-06,,,,,,,,,,,,,,,,,,,,,,,,
ASXH2;ASXL2;KIAA1685,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5738093778345973e-07,,,,,,3.307495403909443e-07
KIAA0362;MCF2L;RP11-98F14.2-033;RP11-98F14.2-007;RP11-98F14.2-034,,,,,,,,,,,,,,,,,,,,,,5.250892595969238e-06,,4.263764031619547e-06,,,,,,,,,
ANKS3;KIAA1977,,,1.516796034030842e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C12orf41,,,,,,,,,,,,,,,,,,5.241033135065835e-06,,,,,,,,,,,,,,,
nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SB146;SLP1;SYTL1;RP11-4K3__A.6-006;RP11-4K3__A.6-007,,,,,,,,,,,,,,,,,1.6586801418407606e-05,2.832017322274411e-05,,,,1.0229658485151115e-05,7.085914195531595e-06,9.001174095136813e-06,,,,,,,,,
CNTROB;LIP8;PP1221,,,,,,,,,,,,,,,,,,5.497913534479533e-06,,,,,,,,,,,,,,,
nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nan,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7889392900898848e-05,,,,,,
ACTL8,,,,,,,,,,2.904752750786726e-05,8.20387982481403e-06,4.9949150000206936e-05,,,,,,,9.202235380070531e-06,7.165208867880186e-06,1.750987389113564e-05,,,,,,,,,,,,
NAA20;NAT5;hCG_21103;RP5-1002M8.3-007;RP5-1002M8.3-006,1.061768626103741e-05,1.81006500313794e-05,,1.0491478919498262e-05,6.90525730026477e-06,8.302730912178922e-06,1.9298167896788263e-05,2.3712827360006365e-05,3.254501599182362e-05,2.7571485877314766e-05,1.7192549758467822e-05,2.3254237415344354e-05,1.4418261010553623e-05,1.7269632678830668e-05,2.8658520643989532e-05,9.15292968055719e-06,,1.2604624300788886e-05,2.3280126598791353e-05,,4.489459088068836e-05,8.142769385207223e-06,1.0727731348996647e-05,3.686609701639032e-06,4.392831975646523e-05,1.1562895835059237e-05,7.536454137082985e-06,2.0871168865560306e-05,9.797508872035633e-06,,1.975582104491376e-05,,4.48498762800233e-06
EFEMP1;FBLN3;FBNL,,,,,,2.5949498127722855e-06,,,,5.844537797862787e-06,,8.318329169744985e-06,,,,,,5.728855992408011e-06,,,,,,,,,,,,,,,
C20orf104;GLEA2;HCA58;NZF;PHF20;TZP,,,,,,,,,,,,,,,,,,9.563434889672557e-06,,,,,,,,,,,,,,,
PPP2R5B,,,,2.092722830896102e-06,3.972106329984755e-06,4.559759773232113e-06,,,1.2476779193740453e-06,,,,,,,,,,,,,,,,,,,,4.519107427378716e-06,,,6.619099642003643e-07,
KIAA1143,,,3.104525164263179e-06,,,,,,5.019615934555213e-06,,,,,,,,,5.362618541257261e-06,,,,,,,,,,,,,5.511033912811311e-06,3.5904502950331113e-06,
NME4;Z97634.4-011;NM23D;Z97634.4-009;hCG_1985512;Z97634.4-002,,,9.762188391356133e-05,,,,,,,,,,,,,,,2.838375865705534e-05,,,,,,,,,,,,,,,
PP20300;SPIN1;SPNS1,,,,,,2.2221223262270436e-05,1.94578154745681e-05,4.912361731592925e-05,2.3005490075621297e-05,7.245229915551464e-06,,,,,2.184885931770472e-06,1.0722230169689897e-05,8.316501021514412e-06,,4.136045785574897e-05,,,,9.330327523225482e-06,,,,,2.3252292201220966e-05,6.8723720901366195e-06,,1.45941257330103e-05,,6.548461060167115e-06
BLOC1S1;BLOS1;GCN5L1;RT14,,,,,3.860760539324241e-06,1.3903142140861795e-05,,,4.941985755472592e-06,,,,,,,6.707831209148404e-06,,2.846694782866726e-05,,,,,1.2872410741988866e-05,4.69471422988881e-06,,,,9.927565746303339e-06,,,,,
nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.413510815677558e-07
DDR2;NTRKR3;TKT;TYRO10;DKFZp686D1354,,,,,,5.061380212330976e-06,1.726096534050208e-05,1.2283873614515851e-05,1.3156321848952321e-05,,,1.2944286063417507e-05,,,,,,,,,,,,,,,,,,,,,
KIAA1075;TENC1;TNS2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.099874063252151e-06
DCTN5,,,,,,1.2321000149986105e-05,3.1461982163156105e-05,1.6426133171333846e-05,1.1795883896901406e-05,,,,,,9.375269663451551e-06,,,1.7473540278667017e-05,,,,,4.918151345537817e-06,,,,,,,,2.4221837350407956e-05,,
CREG;CREG1;UNQ727/PRO1409,,,,1.5524431747866776e-05,1.2513847717175523e-05,2.7824986536025607e-05,6.8616739959687055e-06,,1.845680353159233e-05,1.386852174025873e-05,,5.898004534424251e-06,1.1316467570145741e-05,,,,,,3.0196203094864524e-05,,1.885845102415642e-05,2.4020892250262502e-05,3.0636058425461215e-05,3.2509490387829086e-06,1.4736440399439418e-05,,4.453875373333711e-06,,,,,5.502346285645945e-06,2.793625905988582e-06
GTPBP5;OBGH1;hCG_41776;RP5-1005F21.5-001,,,,,,3.117948681692005e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENPP3;PDNP3,,,,,,,,,,,,,1.1145328748758746e-05,,,,,,,,,,,,,,,,,,,,
GATSL2;GATSL1,2.2955559816236868e-05,2.045277174233385e-05,,,4.634915978453709e-06,3.924939464311524e-06,7.405341321642214e-06,6.115589684719259e-06,1.254080714634533e-05,,2.2728683964358865e-06,5.8919642370420715e-06,,,,5.71243308492211e-06,,1.1678630161328134e-05,4.978475081346436e-06,,2.020337933910622e-05,,,1.359856750931387e-06,,1.3288091602492953e-05,9.888514634398923e-06,,,3.847872944736364e-05,1.0458540523975477e-05,1.2535738351751466e-05,1.6518448336393127e-05
NDEL1;EOPA;MITAP1;NUDEL,,,,,,,,,,,,,2.0664689456055663e-07,,,,,,,,,,,,,,,,,,,,
MANEAL,,,,,,,4.097548290294304e-06,,7.865647676270546e-06,,,1.7961437941645633e-06,,,,,,,,,,,,,,2.408638441226619e-05,8.946147628912115e-06,,,,,,
PKC2;PRKCZ,,,,,,1.687162690125551e-06,,6.082937292544056e-06,3.596727117419828e-06,,,,,,,,,,,,,,,,,,,,,,2.9854588090676936e-06,,
FAM83F,,,,,,,,,,,,,,,,,,,,,,,6.970403018378402e-06,4.8173384741942094e-06,,,,,,,,,
LYK5;STRAD;STRADA;DKFZp667F1913;hCG_41828,,,,,,,,,,,,,,,,,,3.4932921297120593e-06,,,,,,,,,,,,,,,
PRNP;PRIP;PRP;hCG_1785425;RP5-1068H6.2-004,1.9253863490533515e-05,2.2461676678008535e-05,0.00018986686713136879,8.866081360738372e-05,0.0001673789602371368,0.00011729404479651842,,,,1.0124397120883542e-05,,,1.8837223177566582e-05,9.538763919735486e-05,2.8805390579540847e-05,,,,,,,2.5897875285063385e-05,,,,,,5.984608869690596e-05,,,4.551830520808874e-06,,
GALNT14;hCG_1783844;GalNac-T10;UNQ2434/PRO4994;GALNT15,,,1.1228071885228552e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYL1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5602639834437028e-07,,
SLIL3;SLIT2,,,,,,,,6.423272390584565e-06,4.389827848470308e-06,,,,,,,,,,,,,,,,,,,,,,,,
ASNSD1;Nbla00058;NS3TP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.406026289746673e-07
LSMD1;MAK31;PFAAP2,,,,,,,,,3.6879709313591888e-06,,,,,,,,,,,,,,,,,,,,,,,,
15E1.1;HSPC132;TRIAP1,2.4307253393010313e-05,1.2916004021100106e-05,,,3.803118570348864e-06,1.9354990516471034e-05,5.636896756555697e-05,5.456527388646265e-05,5.4597843494323886e-05,,,5.37090044173363e-05,1.7712256107652984e-05,1.073193664822759e-05,2.1570328955799058e-05,,,3.948088738286596e-06,4.9588541809572156e-05,7.063091862635404e-06,,3.181963071693326e-05,3.837186334097288e-05,2.9004351632989394e-05,4.003276544133042e-06,,,3.6106531590101166e-06,6.6503984369522765e-06,,1.2325146312591211e-05,9.355131981655132e-06,3.994148883755459e-06
KCTD14;hCG_26453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.70596885429751e-06
EAP30;SNF8,,,,,,1.9373226805871596e-06,2.0256671278622675e-05,,9.794504932433853e-06,,,1.6088038693072564e-06,5.478111697711755e-06,,,1.1784499052218842e-05,,3.2740922017850674e-05,3.2713675219763007e-06,,1.6680805491091842e-05,,,,1.8856174645628055e-05,,9.494280547884566e-06,,,,9.002499035557452e-06,8.08561240294663e-06,8.01274366277715e-06
CTLA3;GZMA;HFSP,,,,,,,,,,,,,,,,,,9.13481813530841e-06,,,,,,,,,,,,,,,
CDKN2C;CDKN6;hCG_40289;RP11-278J17.1-002,,,,,,4.67535898742223e-06,4.3626068858140925e-06,1.8090490379529536e-05,1.452186814927646e-05,,,,,,,,,3.101365171478037e-06,,,,,,,,,,,,,,,
UNC93;UNC93B;UNC93B1,3.637875971998846e-05,5.570474257002086e-05,,1.5820336339636624e-05,1.364862387241574e-05,2.1992670262004816e-06,,5.870111350097407e-06,,6.80964029235579e-06,,,,,,,,,,,,,1.2297983020429654e-06,3.531206877273023e-06,2.0865346055748287e-06,8.87110282728456e-06,2.963384879600655e-06,1.4069179543286861e-05,,,6.827002840015972e-06,1.4915160080107946e-05,3.2719996561887225e-06
SNAP;SNAP25,,,3.831088499409962e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MANEA,,,,3.6230114982162105e-06,,,6.013787534195905e-06,4.006806221579311e-06,1.120380365520355e-05,,,,,,,,,4.81999852597022e-06,,,,1.045298037746093e-05,1.9640108789860345e-05,3.4572370746965524e-05,,,,,,,,,
BHD;FLCN,,,,2.4874004716482604e-06,5.091618615936225e-06,1.8491875587405033e-05,,,,,,,,,,,,,3.676811265888847e-06,,,,8.084122560698568e-06,,,,,,,,6.3794917996424144e-06,4.181738958658897e-06,2.120065356396541e-06
ALG13;CXorf45;GLT28D1;MDS031,,,,,,,,,,,,,,,,,,,,,,,,,,0.00025094561617463993,,,,,,,
EIF2AK1;HRI;KIAA1369;PRO1362;hCG_2008663;tcag7.1247,,,5.184993119851923e-06,,,,4.466312231477042e-06,5.552919012219813e-06,2.1550903849390103e-06,,,,,,,,,,1.787077297498788e-06,,,,,,,,4.017251860914774e-06,,,,,,
D8S2298E;REP8;UBXD6;UBXN8,,,7.2504203251140555e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DGCR2;IDD;KIAA0163;hCG_17243;DKFZp686I1730,,,,,,2.1508690130737797e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,
RPL22L1,6.746272637132421e-06,,,,,,4.2786038784208457e-05,2.008257231372569e-05,,1.0456110679107182e-05,,5.186413058845912e-06,,,,,,9.094920463120886e-07,,,,0.00020834118745815275,0.00013094107108538324,0.00011341569583523281,3.275899667583118e-05,3.7729983328001216e-05,2.6853571868801593e-05,0.0001521226113373603,0.0001921306559264897,3.549169358135738e-05,,1.0181878700897936e-05,6.760740232158985e-06
FAM96A;hCG_33353,2.4911730005857503e-05,1.5894145031021834e-05,4.822732618172515e-05,,,5.279222457974628e-06,9.238066421845975e-06,,1.5566195812274767e-05,,1.7524566749688877e-05,2.5646795099969335e-05,1.732442715267137e-05,7.441476255280825e-06,,,,1.3908327402067845e-05,4.111926448775389e-05,1.3509238054766159e-05,1.0672029528783517e-05,,,,2.1706639416942857e-05,8.327959669168817e-06,1.877517789339244e-05,8.39647060489555e-06,,6.028436953889659e-05,1.5304638768679946e-05,1.8745797396266032e-05,9.878050665371839e-06
MAGE9;MAGEA9;MAGEA9A;MAGEA9B,,,,,,,,,,,,,,,,,,2.7324479974157568e-05,,,,,,,,,,,,,,,
CHMP6;VPS20,,1.1178928322958002e-05,7.085152207272643e-05,4.869615962335328e-05,1.7970032629142253e-05,5.515094556818606e-05,2.0135716154779846e-05,,9.713963991884817e-06,1.1842139470071688e-05,,,2.8598080426570043e-05,,1.6981528108429873e-05,2.5080554028284272e-05,,1.603869044733849e-05,3.1054842980330943e-05,,,3.283750373038157e-05,,2.090427748602086e-05,2.0723141478278262e-05,,,8.054614728440854e-06,,,3.3171803456607924e-05,,3.3220735955593665e-05
NCE2;UBE2F,,,,,,2.260835494485802e-06,,,,,,,,,,1.9261855734868597e-05,,3.6244232313475715e-05,2.274800618728538e-05,,,,,,,,4.237796135566004e-06,,,,,,
CCDC101;SGF29,5.906862865695868e-06,,,1.080529709240714e-05,,2.7700267488316125e-06,8.559414941171037e-06,1.1309941002220475e-05,5.28510341012481e-06,9.035041914787166e-06,,1.114995467860833e-06,1.1023814158146531e-05,,,6.909396661525173e-06,4.412499256324846e-06,4.886792575980127e-06,1.2535086572003062e-05,,1.3651174501667948e-05,1.980100051785654e-06,1.0771616653386317e-05,6.5803373916930035e-06,,,1.9228927438554468e-05,,1.1414520316274378e-05,1.5658772820933704e-05,,,
CALR;CRTC,,,0.00014812016407246312,,,,,,,,,7.058121044600574e-05,,,,,,,,,,,,,,3.051796799968074e-05,,,,,,5.107282948697554e-05,
B4GALT4;UNQ552/PRO1109;hCG_22565,1.375849366972557e-05,2.5607145641779114e-05,,,,,,,,,,,,,,,,,,,,,,2.208610648059313e-06,,,,,,,,,1.0492772321107227e-06
R3HCC1;hCG_31757,1.0250212957577777e-05,9.846574508936577e-06,,,,,5.165163584612231e-06,1.8066097072781104e-05,1.3251574706803503e-05,4.88291508255364e-06,,,,,,,,,,6.374422637567322e-06,8.0095297390023e-06,,8.17888099418414e-06,,,,,8.628012624780323e-06,,1.805712994448542e-05,,3.942592749327468e-06,1.0500288927973665e-05
GORAB;NTKLBP1;SCYL1BP1,,,,1.0932782604036022e-06,,,,2.3627748499421672e-06,1.1524377855737474e-06,5.214133802849784e-06,2.5337880872076013e-06,1.0248801980431092e-05,,,,,,,,,,,,,,,,,,,,,
KIAA0057;TRAM2,,,3.76510580000903e-05,5.951188580366295e-05,9.560417665254584e-05,6.001792311732761e-05,,,,1.0621092022848196e-05,,4.45427577859821e-06,4.0349195797719024e-05,0.00011487303627907237,1.853692822336607e-05,,,1.702240446353788e-06,,,,,,,,,2.5309820237611566e-06,,,,2.1889411392255927e-05,3.0784274212862386e-05,2.565838098235499e-05
BOLA1;CGI-143,,,,,,,,,2.909594648584058e-06,,,,,,,,,5.574486979794836e-06,,,,4.937750425889711e-06,,,3.866166843442441e-05,2.0249327912702792e-06,3.1105705836511825e-05,,,,,,
C2orf32;CNRIP1,,,,,2.2734471652270814e-05,8.125647212963967e-06,,,,,,,,,,,,,,,,,,,,,,,,,4.293496206512115e-06,,
AP1S2;DC22;hCG_1982256;DKFZp779P0659,,6.504788369649627e-06,,,,5.266074063635609e-06,,9.55226449975092e-06,2.8058567142024436e-05,,,,7.2314249479528425e-06,,,,,,,,,,,,,,,,,,,3.7216105045383107e-06,4.382725285088e-06
ATP7B;PWD;WC1;WND,,,,,,,,,,,,,3.0387843647664323e-06,,1.6753971344814525e-06,,,,,,,,,,,,,,,,,,
SNRNP27;hCG_1994066,1.818309837402103e-05,,,,,6.444154777234172e-06,6.009842360425826e-06,,9.802536978453699e-06,1.9276943375061323e-05,,,,,3.2507215348586886e-06,1.4409241685172252e-05,6.0562200294942965e-05,8.686621638116045e-06,,,,8.810958082661131e-06,3.572793281775977e-05,1.003037480575049e-05,,4.857497808053737e-05,1.773099309198085e-05,3.0444144310451303e-06,4.4674290653041714e-05,,,5.302698305953278e-05,2.9109265642786647e-06
FAM101B,,,1.2321857570753779e-05,,,,,,2.2461124198473182e-06,,,,,,,,,1.1395093824921114e-05,,,,,,,,,,,,,,,
nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BM-036;C14orf11;EAPP,8.224204264458785e-06,,,,,,,,6.151152429880878e-06,7.48526485216295e-06,,,1.758311769800053e-05,,,1.040758881754869e-05,,1.3969244071108359e-05,,,,,5.037474828928233e-06,6.443312003609076e-06,1.071592318924664e-05,,1.0493371790177164e-05,,2.4081784483631306e-05,,,,2.2741559829615983e-06
PP7910;PYGO2;hCG_2039581;RP11-307C12.3-001;RP11-307C12.3-002,,,,,,,,,,,,,,,,,,,,,,,,4.651512170803228e-06,,5.7097699852215845e-06,1.1199098401185421e-05,,,,,,
TMPRSS2;PRSS10,,,,,,,,,,,,,,,,,,,,,,1.1246597046905974e-05,,5.483112563208516e-06,,,,,,,,,
NARC1;PCSK9;PSEC0052,,,,,,,,,,,,,,,,,,,,,4.689289207167065e-06,,,,,,,,,,,,
ANKS1A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PTS,,,,2.4740741539674263e-05,6.105579150942736e-06,4.1732938262186586e-05,2.799362113054889e-05,,3.406649787692942e-05,5.460886770020741e-06,,5.4088645029969305e-05,1.188704435419473e-05,,,,,,,,,,1.2480497254747406e-05,1.1597520841243796e-05,,,,,,,1.90036088820308e-05,,1.7606387229483796e-05
NET7;TM4SF15;TSPAN15;UNQ677/PRO1311,6.93123922489068e-06,,,,,,,,,,,,,,,,,,,,,,,,,4.708771468721024e-06,2.087747924465988e-06,,,,,,
ALAS1;ALAS3;ALASH;OK/SW-cl.121;hCG_42575,,,,,,,,,,,,,2.0529004182362704e-06,,,,,,,,,,,,,,,,,,,,
NTAN1;DKFZp666E058,,,,,,,,,,,,,,,1.7712659266587542e-06,,,,,,,,,,,,,,,,,,
MOB3A;MOBKL2A;DKFZp686N2312,,,,,,,,,,,,,,,,,,,,,1.035385356008881e-05,,,,,,,,,,,,
HSPC239;TBC1D7;hCG_37421;RP1-49A18.2-008;RP1-49A18.2-005;RP1-49A18.2-004;RP1-49A18.2-006;DKFZp686N2317;RP1-49A18.2-003;RP1-49A18.2-002;RP1-49A18.2-001;RP1-49A18.2-011,,,,,,,,5.111064238819585e-06,,,,,,,,,,4.406795582642124e-06,,,,,,,,,,,,,,,
TSC22D1;hucep-2;KIAA1994;TGFB1I4;TSC22,,,,,,3.4375811787681607e-06,,,,,,4.596445362894617e-06,,,,,,,,,,,,,,,,,,,,,
VWDE,,,,,,,,,,,,,,,,,,,7.69891168293786e-06,,,,,,,,,,,,,,
C6orf149;CGI-203;ISD11;LYRM4,,,,,,,,,,,,7.95613423907746e-06,7.666830876223798e-06,,,,,4.983918196548135e-06,,,,,,,,,,,,,,,
CDH13;CDHH,,,,5.44349354599209e-06,7.93211251038705e-06,6.627030400563055e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,
C6orf89;UNQ177/PRO203;hCG_2003610;RP1-90K10.6-001,,,,,3.3056119183086673e-06,,,,,,,,,,,,,,,,,,,,1.687845118310793e-05,1.4592833028646624e-05,,,,,,,
AMOTL2;KIAA0989,,,7.512442906466318e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CGI-76;HSPC153;HSPC205;NCUBE1;UBE2J1;hCG_33069,3.4185889802292156e-06,,,3.3312307162242876e-06,,,,,,,,,,,,3.693551218895027e-06,,4.926175788844578e-06,,,,,,,9.002488846156161e-06,,5.9014952323082326e-06,3.4011342273418046e-06,,,7.229363856859194e-06,,5.239577269056175e-06
TDG,,,,,,,,,,,,,,,,,,,,,,1.994619842676893e-06,,6.056296956483291e-07,,,,,,,,,
PROS;PROS1,,,,,,,,,,,,,,,,,,,,,9.256824248763622e-05,,,,,,,,,,,,
STARD4;hCG_37443;DKFZp451B0517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.37168143786113e-06
ACP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6245543648738667e-06
IP3KC;ITPKC,,,,,,1.2170206937262644e-06,2.2890700361457714e-06,,,,,,,,,,,,,,,,,,,2.1798299398358023e-06,,7.539295608344685e-06,,,,,
KIAA0673;NPHP4;RP11-33M12.1-001;hCG_22639,,,,,,8.737294269331691e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIMP2;hCG_95573,,,,9.474596256787814e-06,,7.973517704174522e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2003676402533476e-06
hCG_2039395;RAB24,,,,,,,,,,,,,,6.745343961744546e-06,,,,,,,,,,,,,,,,,,,
KIAA1211,,,,,,,,,,,,,,,,,,5.036999473065115e-07,,,,,,,,,,,,,,,
CGI-33;HIRIP5;NFU1,1.8028844310124454e-05,1.9210920357328944e-05,,1.8895644619646593e-05,3.107669787827442e-05,2.4430421663406955e-05,1.6985568241824337e-05,9.493652684446891e-06,1.944180081022323e-05,2.3787629831345157e-06,,2.908506924576034e-06,2.7261445702639206e-05,1.7151460217489208e-05,2.508861969469057e-05,3.3777392915321516e-06,,5.544889622401452e-06,3.079252748239288e-05,2.653797952781857e-05,,1.0683489687412736e-05,,5.620153296471876e-06,,,,2.1510067434138896e-05,2.1390437406707212e-05,,1.1073886896480057e-05,,2.136000004960081e-05
C20orf161;SNX21;SNXL;RP3-337O18.7-003;hCG_38382,,,,,,6.270641362901779e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,5.91070452190251e-06
GA733-1;M1S1;TACSTD2;TROP2;hCG_22165,,,,,,,,,,,,,,,,,,,,,,,,,2.2104087544725244e-05,1.1945040134747327e-05,1.7703252373415633e-05,,,,,,
DNAPTP2;RNF149;LOC284996,,,,,,3.596623377987205e-06,,,,,,,1.0904327414491184e-05,,7.966485468914964e-06,,,,,,,,,,5.973675013832057e-06,,,,,,6.130841429617763e-06,,
TBX3,,,,,,,,,,,,1.631992287795777e-06,4.615129408702785e-06,,,,,,,,,,2.781165856745532e-05,3.5451054804809048e-06,,,,,,,,,
