Gene name,LFQ Intensity A549_1,LFQ Intensity A549_2,LFQ Intensity A549_3,LFQ Intensity GAMG_1,LFQ Intensity GAMG_2,LFQ Intensity GAMG_3,LFQ Intensity HEK293_1,LFQ Intensity HEK293_2,LFQ Intensity HEK293_3,LFQ Intensity HeLa_1,LFQ Intensity HeLa_2,LFQ Intensity HeLa_3,LFQ Intensity HepG2_1,LFQ Intensity HepG2_2,LFQ Intensity HepG2_3,LFQ Intensity Jurkat_1,LFQ Intensity Jurkat_2,LFQ Intensity Jurkat_3,LFQ Intensity K562_1,LFQ Intensity K562_2,LFQ Intensity K562_3,LFQ Intensity LnCap_1,LFQ Intensity LnCap_2,LFQ Intensity LnCap_3,LFQ Intensity MCF7_1,LFQ Intensity MCF7_2,LFQ Intensity MCF7_3,LFQ Intensity RKO_1,LFQ Intensity RKO_2,LFQ Intensity RKO_3,LFQ Intensity U2OS_1,LFQ Intensity U2OS_2,LFQ Intensity U2OS_3
PSTI;SPINK1,,,,,,,,,,,,,,,6.238795759767924e-06,,,,,,,,,,,,,,,,,,
C1orf21;PIG13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2333185094297939e-06
CBG;SERPINA6,,,,,,,,,,,,,1.5869815699161796e-06,,,,,,,,,,,,,,,,,,,,
SLC39A9;UNQ714/PRO1377;ZIP9;hCG_2028986,,,,,,,,,,,,,,,,,,,,,,,,,,,2.553283628670063e-07,,,,,,
ATAD4;PRR15L,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2868770642459264e-06,,,,,,
FAM63B;KIAA1164,,,,,,,,,1.9419475204665127e-06,,,,,,,,,,,,,,,,,,,,,,,,
VWA1,,,,,,,,,,,,,,,,,,,,,,,,1.6736558568382547e-07,,,,,,,,,
NIPA2,,,,,,,7.244227498820698e-06,,,,,,,,,,,,,,,,,,,,,,,,,,
ARNTL2;BHLHE6;BMAL2;CLIF;MOP9;PASD9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.409529469151528e-07
nan,,,,,,,,,,3.3234425180058967e-06,,,,,,,,,,,,,,,,,,,,,,,
CKIP1;HQ0024c;OC120;PLEKHO1,,,,,,,,,8.160795391005444e-07,,,,,,,,,,,,,,,,,,,,,,,,
EFL3;EFNB1;EPLG2;LERK2,,,8.074565920365108e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KIAA0198;PLAGL2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.88940910420221e-06,,,
SRR1L;SRRD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.280231406630255e-07
ZNF649,,,,,,,,,1.647818936041208e-06,,,,,,,,,,,,,,,,,,,,,,,,
PLLP;PMLP;TM4SF11,,,,,,,,,,,,,,,2.1828946090086322e-06,,,,,,,,,,,,,,,,,,
STATH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.981476685315158e-06
nan,,,,,,,,,,,6.9510480389570575e-06,,,,,,,,,,,,,,,,,,,,,,
KCP3;KRTCAP3;UNQ3066/PRO9898,,,,,,,,,,,,,,,,,,,,,,,1.3680497437663326e-05,,,,,,,,,,
PLAG1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.623264318458871e-06,,,
KEPI;PPP1R14C,,,,,,,,,1.0890115585123037e-05,,,,,,,,,,,,,,,,,,,,,,,,
CGB2;CGB1;CGB;CGB3;CGB5;CGB7;CGB8,,,,,2.0311166471605084e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,
