,Gene name
185,GBAS;NIPSNAP2;hCG_18231
186,GCDH
187,PTCD1;KIAA0632;hCG_2023422;tcag7.1151
188,DARS2
189,TIM9;TIM9A;TIMM9;TIMM9A
190,SFXN1
191,SIR2L3;SIRT3
192,HSPC262;MRPL38
193,BMRP;MRPL27;MRPL41;PIG3;RPML27
194,ABHD11;PP1226;WBSCR21
195,ARG2
196,EARS2;KIAA1970
197,HSPC299;NIPSNAP3A;NIPSNAP4
198,SFXN2;hCG_22584;RP11-47A8.2-001;SFXN
199,MTX3;DKFZp686B0395
200,ACR1;PRDX5;SBBI10
201,MRPL9;RP11-98D18.5-002
202,ABHD10
203,AFG3L2
204,SCP2
205,MLYCD
206,CUA002;NIT2
207,OXCT;OXCT1;SCOT
208,ARL2;hCG_23373
209,NME3;c371H6.2
210,MRPL55;UNQ5835/PRO19675
211,CCDC51
212,ORNT1;SLC25A15;SP1855
213,PNPO
214,HSP60;HSPD1
215,MRPL40;NLVCF;URIM
216,AUH
217,PDK1
218,FOXRED1;FP634
219,MRPL13
220,TUFM
221,IMOGN38;MRPS31
222,ACADS
223,CGI-63;MECR;NBRF1;hCG_24036
224,ALDH10;ALDH3A2;FALDH;DKFZp686E23276;hCG_30680
225,MAOA;hCG_16826;RP1-201D17__B.2-001
226,ZADH2
227,IARS2
228,NSUN4;hCG_2031650
229,BM-022;MRPL1
230,HDCMD11P;MDS023;MRPS28;MRPS35;PSEC0213
231,CYC;CYCS
232,TMEM205;UNQ501/PRO1018
233,MRPL50
234,HAD;HADH;HADHSC;SCHAD
235,C14orf160;L2HGDH
236,CARS2;OK/SW-cl.10;DKFZp686G08243;DKFZp667A2315
237,EDH17B4;HSD17B4
238,DKFZp686D0959;C14orf114;EXD2;EXDL2
239,SPRYD4
240,NT5DC2
241,XPNPEP3
242,DKFZp686M24262;ACADM;hCG_22915;RP4-682C21.1-002
243,NARS2
244,MMAB
245,MRPL45
246,C3orf28;DC16;E2IG5;FAM162A;FWP001
247,BDH;BDH1
248,CGI-22;MRPL2
249,HSPC158;MRPL22;MRPL25;RPML25
250,ALDH4;ALDH7;ALDH9;ALDH9A1;hCG_21745
251,MRL3;MRPL3;RPML3
252,EFG;EFG1;GFM;GFM1
253,HINT3
254,C9orf158;HDHD3
255,hCG_1647154;MRPL42;HSPC204;MRPL31;MRPS32;PTD007;RPML31
256,ACAD10
257,HSPE1;EPFP1;hCG_21429
258,MRPL16;PNAS-111
259,MRPS9;RPMS9
260,BCKDHB;hCG_1817356;RP1-279A18.1-004
261,APE;APEX;APEX1;APX;HAP1;REF1;hCG_40473
