,Gene name
744,DNA2;DNA2L;KIAA0083
745,PGS1
746,RAB24
747,CYB5R3;DIA1;Z93241.1-006
748,C6orf210;DLP1;PDSS2
749,DHTKD1;KIAA1630
750,CMPK2
751,C9orf115;PTRH1
752,MTHFS
753,NS5ATP5;TFB2M
754,TMEM65
755,ADCK1;hCG_22271
756,CCHL;HCCS;DKFZp779I1858
757,RSAD1
758,NIT1;RP11-544M22.11-002
759,ETHE1;HSCO;hCG_1995670
760,GC2;SLC25A18
761,ABH;ABH1;ALKBH;ALKBH1
762,C1QBP;GC1QBP;HABP1;SF2P32
763,ECHDC3;PP1494;PP8332;RP11-401F24.3-005
764,BIT1;CGI-147;PTH2;PTRH2
765,PPOX
766,CYP27;CYP27A1
767,ACOT9;CGI-16
768,GCSP;GLDC
769,NSUN2;SAKI;TRM4;hCG_18368
770,ARHT2;C16orf39;RHOT2
771,OBTP;TOM6;TOMM6
772,RECQ4;RECQL4
773,GNN;NT5DC3;TU12B1-TY
774,CGI-75;TFB1M
775,MGST3;RP11-466F5.1-002;RP11-466F5.1-005
776,PKCA;PRKACA;PRKCA;hCG_29268
777,ACSM2;ACSM2B;HYST1046
778,ACSF3;PSEC0197
779,C20orf52;ROMO1
780,TIM23;TIMM23;TIMM23B;RP11-481A12.7-002
781,DGU;UNG;UNG1;UNG15;DKFZp781L1143
782,COQ3;UG0215E05
783,ACLY
784,BAD;BBC6;BCL2L8;hCG_21372
785,MRPL14;MRPL32;RPML32
786,ALDH5A1;SSADH;hCG_37509
787,DCOH2;DCOHM;PCBD2
788,CLPB;HSP78;SKD3
789,AGPAT4;UNQ499/PRO1016
790,LIG3;LRIG3;UNQ287/PRO326/PRO335
791,C15orf61
792,FUNDC1
793,HT015;MFRN;MSCP;SLC25A37
794,CHPT1;CPT1;MSTP022
795,BCL2L3;MCL1
796,DNAJC30;WBSCR18
797,SOX2;LACTB;MRPL56;UNQ843/PRO1781;SOX1;SOX21;SOX25;SOXA;SOX14;SOX28
798,CL640;COQ2
799,CGI-133;GLRX2;GRX2
800,BBC3;PUMA
801,PIG6;POX2;PRODH
802,COQ10A;UNQ6192/PRO20219
803,CHCHD10;C22orf16
804,POLQ;POLH;DKFZp781A0112
805,KIAA1348;PDP2
806,MRPL34
807,CML3;NAT8L
808,COX10
809,AD032;ALEX1;ARMCX1;DKFZp686P06199
810,MPV17;hCG_23713
811,OPA3
812,STAR;STARD1;hCG_23102
813,C9orf151;DNLZ;RP11-413M3.2-002
814,PLSCR3
815,DGUOK;DGK
816,TEX4;TIM22;TIMM22
817,FKSG19;KIAA1184;MR1;PNKD;TAHCCP2;UNQ2491/PRO5778
818,COQ10B
819,BCL2L11;BIM;hCG_15901
820,BCL2L2;BCLW;KIAA0271
821,SAMC;SLC25A26
822,COMTD1;UNQ766/PRO1558
823,KAT;TSTD1
824,BCL2;bcl-2;hCG_34092
825,BNIP3A;BNIP3H;BNIP3L;NIX;hCG_17158
826,NIPSNAP3;NIPSNAP3B
827,RFK
828,MSRB3;UNQ1965/PRO4487;DKFZp686C1178
829,TAZ;WWTR1
830,PUSL1
831,BMCP1;SLC25A14;UCP5;UNQ791/PRO1682;RP1-20I3.5-004
832,ACADL
833,CASP9;MCH6;RP11-265F14.3-003;RP11-265F14.3-005;CASPASE-9c
834,SLC25A33
835,ADX;FDX1
836,C16orf51;TMEM186
837,ABCD2;ALD1;ALDL1;ALDR;ALDRP
838,LETM2
839,FBL4;FBL5;FBXL4
840,1A13B;KIAA0049;M17S2;MIG19;NBR1
841,MRPL38
842,MRPS25
843,MTRF1
844,SLC25A38
845,MSTP077;NSUN3;UG0651E06
846,PRODH2
847,SFXN5
848,BCRM1;SFXN4
849,PDE2A
850,C2orf25;CL25022;HSPC161;MMADHC;My011
851,MUTYH;RP4-534D1.2-006;MYH;RP4-534D1.2-005;hMYH;RP4-534D1.2-019;MYHbeta
852,CASP8
853,ERAL1
854,NME4;Z97634.4-011;NM23D;Z97634.4-009;hCG_1985512;Z97634.4-002
855,ALAS1;ALAS3;ALASH;OK/SW-cl.121;hCG_42575
856,hCG_2039395;RAB24
857,GA;GLS2;hCG_24976
858,CRAT;RP11-247A12.5-010
859,SLC25A35
860,CCDC127
861,SLC25A42
862,PMP22;PXMP2
863,Nbla00307;OXR1
864,AGAT;GATM
865,GLS
866,COQ7
867,GTT1;STARD7
868,FAM185A
869,APC2;MCSC2;SCAMC3;SLC25A23
870,ANGEL2;KIAA0759L
871,CGI-204;MRPL47;NCM1
872,PABP5;PABPC5;RP13-24G8.3-002
873,GTPBP7;MTG1
874,ME3
875,CKMT2
876,BPHL;hCG_22877
877,HSPC124;PPA2
878,GSTZ1;MAAI
879,PITRM1;RP11-298E9.1-004
880,TOP1MT
881,hCG_2014251;SSBP1
882,ALDH1L1;FTHFD
883,ACOT7;BACH
884,DBI
885,CPRP1;KIAA0214;MFN2
886,FLAD1;PP591
887,TXNRD2;DKFZp781E0833
888,DUT
889,ACS2;ACSL6;FACL6;KIAA0837;LACS5
890,hCG_1776092;MRPL38
891,GRHPR;RP11-397D12.2-004
892,ACSM2;ACSM2A;MACS2
893,GRP94B;GRP94P1;HSP90B2P;TRAP1
894,CASP8;MCH5
895,DBT;RP11-305E17.3-002
896,ACOT2;PTE2;PTE2A
897,ARHT1;RHOT1
898,VDAC2
899,VARS2
900,ACACB;ACC2;ACCB
901,MFN1
902,GLUD2;GLUDP1
903,HSPD1
904,ADE2;AIRC;PAICS;PAIS
905,PCK2;PEPCK2
906,GRIM12;KDRF;TXNRD1
907,DLP1;DNM1L;DRP1
908,KIAA1104;MP1;PITRM1
909,IMMT
